1520319299832,47.0,47.0
1520319300833,47.0,47.0
1520319301832,47.0,47.0
1520319302833,49.0,47.513836
1520319304834,49.0,47.82509
1520319305832,50.0,48.213528
1520319306833,48.0,48.17995
1520319308833,48.0,48.15443
1520319309836,46.0,47.87371
1520319312833,47.0,47.76756
1520319313834,47.0,47.679558
1520319314833,47.0,47.605316
1520319315833,47.0,47.54179
1520319317832,49.0,47.689774
1520319318833,49.0,47.819065
1520319319832,49.0,47.932903
1520319320833,50.0,48.1283
1520319327833,47.0,48.023376
1520319328832,47.0,47.929504
1520319329833,47.0,47.84521
1520319330833,46.0,47.67947
1520319331832,46.0,47.52982
1520319332833,48.0,47.571434
1520319333832,51.0,47.873203
1520319334833,49.0,47.971916
1520319335833,50.0,48.14889
1520319342834,51.0,48.39687
1520319343832,51.0,48.62266
1520319344833,51.0,48.828396
1520319345833,51.0,49.015965
1520319346833,52.0,49.273293
1520319347833,49.0,49.249756
1520319348833,48.0,49.142246
1520319349832,48.0,49.04408
1520319350833,47.0,48.86854
1520319357834,48.0,48.794003
1520319358833,49.0,48.811672
1520319359832,48.0,48.742085
1520319360832,49.0,48.764187
1520319361833,53.0,49.12708
1520319362832,55.0,49.630093
1520319363832,54.0,50.004288
1520319364832,56.0,50.517605
1520319365833,53.0,50.7301
1520319372832,53.0,50.924377
1520319373833,52.0,51.01643
1520319374833,54.0,51.27174
1520319375834,56.0,51.676315
1520319376833,54.0,51.87513
1520319377832,51.0,51.80026
1520319378834,52.0,51.81735
1520319379833,52.0,51.832973
1520319380832,52.0,51.847263
1520319387833,51.0,51.774784
1520319388832,50.0,51.622967
1520319389833,49.0,51.398598
1520319390832,49.0,51.193424
1520319391833,49.0,51.005802
1520319392832,50.0,50.91977
1520319393834,49.0,50.755558
1520319394833,49.0,50.605396
1520319395834,49.0,50.46808
1520319402833,48.0,50.256973
1520319403832,50.0,50.234993
1520319404833,50.0,50.214893
1520319405833,49.0,50.11098
1520319406833,49.0,50.015957
1520319407833,51.0,50.100124
1520319408834,49.0,50.006027
1520319409832,47.0,49.748913
1520319410833,50.0,49.77039
1520319417834,55.0,50.217693
1520319418834,54.0,50.541203
1520319419832,55.0,50.922573
1520319420832,53.0,51.10026
1520319421833,52.0,51.17722
1520319422832,46.0,50.7344
1520319423833,47.0,50.41499
1520319424833,48.0,50.20843
1520319425833,48.0,50.01954
1520319432832,49.0,49.932335
1520319433833,48.0,49.76706
1520319434834,49.0,49.70145
1520319435833,50.0,49.726986
1520319436834,50.0,49.750336
1520319437833,50.0,49.77169
1520319438832,50.0,49.791218
1520319439833,49.0,49.723545
1520319440833,49.0,49.66166
1520319447832,47.0,49.434002
1520319448833,47.0,49.225815
1520319449832,46.0,48.949905
1520319450834,46.0,48.697594
1520319451832,47.0,48.552395
1520319452833,47.0,48.419617
1520319453833,48.0,48.383724
1520319454832,49.0,48.436436
1520319455833,48.0,48.399105
1520319462834,54.0,48.878162
1520319463832,52.0,49.14518
1520319464832,55.0,49.645954
1520319465833,55.0,50.103897
